"filename", "language", "Dart", "C++", "HTML", "CMake", "YAML", "JSON", "Swift", "Markdown", "XML", "JavaScript", "Properties", "comment", "blank", "total"
"c:\programas\exa_gammer_movil\lib\ui\home\inicio_sesion\Widgets_Inicio_Sesion\glass_card.dart", "Dart", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 35
"c:\programas\exa_gammer_movil\lib\ui\home\inicio_sesion\Widgets_Inicio_Sesion\logo_header.dart", "Dart", 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 78
"c:\programas\exa_gammer_movil\lib\ui\home\inicio_sesion\add_user.dart", "Dart", 154, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 15, 178
"c:\programas\exa_gammer_movil\lib\ui\home\inicio_sesion\diseologin.dart", "Dart", 86, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 91
"c:\programas\exa_gammer_movil\lib\ui\home\inicio_sesion\login.dart", "Dart", 126, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 13, 194
"c:\programas\exa_gammer_movil\lib\ui\home\profesor\Detalle_Clase_Profesor\Widgets_Detalle_Clase\empty_examenes_widget.dart", "Dart", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 32
"c:\programas\exa_gammer_movil\lib\ui\home\profesor\Detalle_Clase_Profesor\Widgets_Detalle_Clase\examen_card.dart", "Dart", 145, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 154
"c:\programas\exa_gammer_movil\lib\ui\home\profesor\Detalle_Clase_Profesor\Widgets_Detalle_Clase\examenesListView.dart", "Dart", 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 74
"c:\programas\exa_gammer_movil\lib\ui\home\profesor\Detalle_Clase_Profesor\detalle_clase_profe.dart", "Dart", 202, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 214
"c:\programas\exa_gammer_movil\lib\ui\home\profesor\Home_Profesor\home_profesor.dart", "Dart", 147, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 157
"c:\programas\exa_gammer_movil\lib\ui\home\profesor\Home_Profesor\widgets_home_profesor\clases_list_view.dart", "Dart", 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 77
"c:\programas\exa_gammer_movil\lib\ui\home\profesor\Home_Profesor\widgets_home_profesor\empty_state.dart", "Dart", 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 55
"c:\programas\exa_gammer_movil\lib\ui\home\profesor\Home_Profesor\widgets_home_profesor\fab_nueva_clase.dart", "Dart", 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 54
"c:\programas\exa_gammer_movil\lib\ui\home\profesor\Home_Profesor\widgets_home_profesor\header_home.dart", "Dart", 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 79
"c:\programas\exa_gammer_movil\lib\ui\home\profesor\Home_Profesor\widgets_home_profesor\logout_dialog.dart", "Dart", 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 75
"c:\programas\exa_gammer_movil\lib\ui\home\profesor\add_clase.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 479, 0, 479
"c:\programas\exa_gammer_movil\lib\ui\home\profesor\agregar_clase\add_class.dart", "Dart", 153, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 19, 186
"c:\programas\exa_gammer_movil\lib\ui\home\profesor\agregar_clase\widgets_add_clase\avatar_selector_card.dart", "Dart", 189, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 194
"c:\programas\exa_gammer_movil\lib\ui\home\profesor\agregar_clase\widgets_add_clase\clase_form_card.dart", "Dart", 159, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 177
"c:\programas\exa_gammer_movil\lib\ui\home\profesor\agregar_clase\widgets_add_clase\create_button.dart", "Dart", 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 96
"c:\programas\exa_gammer_movil\lib\ui\home\profesor\agregar_clase\widgets_add_clase\custom_text_field.dart", "Dart", 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 108
"c:\programas\exa_gammer_movil\lib\ui\home\profesor\agregar_clase\widgets_add_clase\header_logo.dart", "Dart", 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 81
"c:\programas\exa_gammer_movil\lib\ui\home\profesor\main_view.dart", "Dart", 137, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 144
"c:\programas\exa_gammer_movil\lib\ui\home\vista\clase\ClaseCard.dart", "Dart", 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 80
"c:\programas\exa_gammer_movil\lib\ui\home\vista\clase\clase_view.dart", "Dart", 161, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9, 173
"c:\programas\exa_gammer_movil\lib\ui\home\vista\clase\estud_clase.dart", "Dart", 126, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 134
"c:\programas\exa_gammer_movil\lib\ui\home\vista\clase\info_clase.dart", "Dart", 534, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 29, 575
"c:\programas\exa_gammer_movil\lib\ui\home\vista\examen\examen_view.dart", "Dart", 147, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14, 163
"c:\programas\exa_gammer_movil\lib\ui\home\vista\examen\ui\add_examen.dart", "Dart", 701, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 31, 743
"c:\programas\exa_gammer_movil\lib\ui\home\vista\examen\ui\calificacion.dart", "Dart", 707, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 22, 736
"c:\programas\exa_gammer_movil\lib\ui\home\vista\examen\ui\detalle_examen.dart", "Dart", 494, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 30, 532
"c:\programas\exa_gammer_movil\lib\ui\home\vista\examen\ui\info_examen.dart", "Dart", 570, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 30, 612
"c:\programas\exa_gammer_movil\lib\ui\home\vista\examen\ui\resultados.dart", "Dart", 145, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 155
"c:\programas\exa_gammer_movil\lib\ui\home\vista\examen\widget\conte_Estud.dart", "Dart", 145, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 14, 164
"c:\programas\exa_gammer_movil\lib\ui\home\vista\examen\widget\conte_Profe.dart", "Dart", 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 9, 66
"c:\programas\exa_gammer_movil\lib\ui\home\vista\examen\widget\formahorcado.dart", "Dart", 127, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 146
"c:\programas\exa_gammer_movil\lib\ui\home\vista\examen\widget\formheroes.dart", "Dart", 185, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 19, 206
"c:\programas\exa_gammer_movil\lib\ui\home\vista\examen\widget\listAhorcados.dart", "Dart", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 32
"c:\programas\exa_gammer_movil\lib\ui\home\vista\examen\widget\listHeroes.dart", "Dart", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 42
"c:\programas\exa_gammer_movil\lib\ui\home\vista\examen\widget\listPalab_Res.dart", "Dart", 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 92
"c:\programas\exa_gammer_movil\lib\ui\home\vista\examen\widget\listPregun_Res.dart", "Dart", 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 81
"c:\programas\exa_gammer_movil\lib\ui\home\vista\examen\widget\validarresultados.dart", "Dart", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 56
"c:\programas\exa_gammer_movil\lib\ui\home\vista\perfil\EditarPerfil.dart", "Dart", 110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 121
"c:\programas\exa_gammer_movil\lib\ui\home\vista\perfil\Pago_premium.dart", "Dart", 312, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20, 333
"c:\programas\exa_gammer_movil\lib\ui\home\vista\perfil\Plan_card.dart", "Dart", 110, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 113
"c:\programas\exa_gammer_movil\lib\ui\home\vista\perfil\PremiumView.dart", "Dart", 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 108
"c:\programas\exa_gammer_movil\lib\ui\home\vista\perfil\profile_view.dart", "Dart", 170, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 177
"c:\programas\exa_gammer_movil\lib\ui\home\widget\avatares.dart", "Dart", 65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 70
"c:\programas\exa_gammer_movil\lib\ui\home\widget\boton_comenzar.dart", "Dart", 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 88
"c:\programas\exa_gammer_movil\lib\ui\home\widget\buscar.dart", "Dart", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 26
"c:\programas\exa_gammer_movil\lib\ui\home\widget\datos.dart", "Dart", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16
"c:\programas\exa_gammer_movil\lib\ui\home\widget\editar.dart", "Dart", 138, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 147
"c:\programas\exa_gammer_movil\lib\ui\home\widget\eliminar.dart", "Dart", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 30
"c:\programas\exa_gammer_movil\lib\ui\home\widget\fondo_home.dart", "Dart", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 48
"c:\programas\exa_gammer_movil\lib\ui\home\widget\home_page.dart", "Dart", 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 67
"c:\programas\exa_gammer_movil\lib\ui\home\widget\listaperso.dart", "Dart", 145, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 8, 156
"c:\programas\exa_gammer_movil\lib\ui\home\widget\logo_glow.dart", "Dart", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 47
"c:\programas\exa_gammer_movil\lib\ui\home\widget\titulo_home.dart", "Dart", 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 67
"c:\programas\exa_gammer_movil\linux\CMakeLists.txt", "CMake", 0, 0, 0, 104, 0, 0, 0, 0, 0, 0, 0, 0, 25, 129
"c:\programas\exa_gammer_movil\linux\flutter\CMakeLists.txt", "CMake", 0, 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 0, 10, 89
"c:\programas\exa_gammer_movil\linux\flutter\generated_plugin_registrant.cc", "C++", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 16
"c:\programas\exa_gammer_movil\linux\flutter\generated_plugin_registrant.h", "C++", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\programas\exa_gammer_movil\linux\flutter\generated_plugins.cmake", "CMake", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 6, 25
