"filename", "language", "JSON", "C++", "Dart", "HTML", "YAML", "Properties", "CMake", "Markdown", "Swift", "XML", "comment", "blank", "total"
"c:\programas\exa_gammer_movil\lib\ui\home\profesor\Home_Profesor\widgets_home_profesor\clases_list_view.dart", "Dart", 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 5, 77
"c:\programas\exa_gammer_movil\lib\ui\home\profesor\Home_Profesor\widgets_home_profesor\empty_state.dart", "Dart", 0, 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 3, 55
"c:\programas\exa_gammer_movil\lib\ui\home\profesor\Home_Profesor\widgets_home_profesor\fab_nueva_clase.dart", "Dart", 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 4, 54
"c:\programas\exa_gammer_movil\lib\ui\home\profesor\Home_Profesor\widgets_home_profesor\header_home.dart", "Dart", 0, 0, 66, 0, 0, 0, 0, 0, 0, 0, 0, 3, 69
"c:\programas\exa_gammer_movil\lib\ui\home\profesor\Home_Profesor\widgets_home_profesor\logout_dialog.dart", "Dart", 0, 0, 65, 0, 0, 0, 0, 0, 0, 0, 0, 2, 67
"c:\programas\exa_gammer_movil\lib\ui\home\profesor\agregar_clase\add_class.dart", "Dart", 0, 0, 157, 0, 0, 0, 0, 0, 0, 0, 14, 19, 190
"c:\programas\exa_gammer_movil\lib\ui\home\profesor\agregar_clase\widgets_add_clase\avatar_selector_card.dart", "Dart", 0, 0, 177, 0, 0, 0, 0, 0, 0, 0, 1, 5, 183
"c:\programas\exa_gammer_movil\lib\ui\home\profesor\agregar_clase\widgets_add_clase\clase_form_card.dart", "Dart", 0, 0, 159, 0, 0, 0, 0, 0, 0, 0, 0, 18, 177
"c:\programas\exa_gammer_movil\lib\ui\home\profesor\agregar_clase\widgets_add_clase\create_button.dart", "Dart", 0, 0, 91, 0, 0, 0, 0, 0, 0, 0, 0, 4, 95
"c:\programas\exa_gammer_movil\lib\ui\home\profesor\agregar_clase\widgets_add_clase\custom_text_field.dart", "Dart", 0, 0, 105, 0, 0, 0, 0, 0, 0, 0, 0, 3, 108
"c:\programas\exa_gammer_movil\lib\ui\home\profesor\agregar_clase\widgets_add_clase\header_logo.dart", "Dart", 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 2, 3, 67
"c:\programas\exa_gammer_movil\lib\ui\home\profesor\main_view.dart", "Dart", 0, 0, 137, 0, 0, 0, 0, 0, 0, 0, 0, 7, 144
"c:\programas\exa_gammer_movil\lib\ui\home\vista\clase\ClaseCard.dart", "Dart", 0, 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 5, 80
"c:\programas\exa_gammer_movil\lib\ui\home\vista\clase\clase_view.dart", "Dart", 0, 0, 161, 0, 0, 0, 0, 0, 0, 0, 3, 9, 173
